#{"t_start": 1672838831.0494676, "env_id": null}
r,l,t
1896.0,568,20869.488832
3286.0,2910,20869.837915
4003.0,908,20870.795141
2796.0,705,20876.986609
3077.0,746,20877.802802
2711.0,3023,21137.437313
2301.0,657,21142.686557
1472.0,508,21142.967623
1985.0,579,21149.056066
2536.0,666,21149.740228
1866.0,613,21155.621621
1728.0,525,21419.716189
2771.0,3092,21420.851459
3363.0,2879,21425.648595
1880.0,619,21426.359764
1899.0,589,21427.14695
2278.0,566,21431.781048
1695.0,561,21433.215387
2730.0,2818,21438.444627
2268.0,2735,21715.117987
2637.0,2812,21980.726915
2389.0,2769,21981.784165
2664.0,2829,21987.574537
2321.0,588,21988.000638
2177.0,839,21989.753053
1681.0,548,21993.499941
1946.0,584,21994.324136
2416.0,759,21997.891981
2485.0,620,22001.035726
2256.0,2744,22263.723961
2482.0,672,22264.786212
2679.0,719,22268.300045
2294.0,670,22272.017926
2679.0,797,22276.809061
1374.0,505,22277.284174
1705.0,587,22543.274191
1418.0,551,22549.050559
2277.0,2738,22552.662415
1461.0,535,22554.827928
1872.0,582,22558.816873
1464.0,503,22560.302225
2164.0,2733,22824.586838
2980.0,5155,22826.721344
3759.0,983,22834.9793
1945.0,558,22841.039736
2181.0,2741,23105.612418
1720.0,562,23105.702439
1884.0,609,23112.219983
2305.0,2747,23114.816599
2393.0,676,23119.432692
1961.0,594,23121.277129
1678.0,536,23125.130042
3581.0,857,23389.488673
1890.0,643,23391.203079
3282.0,5207,23392.60141
2082.0,574,23395.613123
1726.0,535,23397.566586
2760.0,3007,23397.761633
2472.0,629,23400.038172
2454.0,615,23404.267174
3045.0,709,23405.142383
2325.0,592,23406.40368
1737.0,525,23671.095536
1877.0,535,23676.700863
2405.0,1655,23682.994736
2105.0,2735,23686.687611
2174.0,2735,23956.667157
2316.0,634,23963.354742
2682.0,2059,23965.128161
3220.0,2901,23968.54197
2477.0,640,23970.222368
1894.0,562,23971.041562
2508.0,608,24234.917605
2170.0,2735,24235.808817
1608.0,499,24236.36995
2672.0,693,24243.078753
2483.0,643,24243.962963
1608.0,546,24248.964148
1945.0,567,24250.024399
2090.0,575,24255.184622
1732.0,535,24515.038461
2186.0,2962,24521.930094
1791.0,729,24522.867316
2183.0,3954,24797.438366
1341.0,1793,24801.293279
2182.0,2763,24803.182728
2963.0,989,24808.035877
1602.0,557,24809.182148
2187.0,2754,24810.58248
2681.0,906,25079.409169
2119.0,610,25086.741906
2949.0,3026,25093.577526
2615.0,773,25095.001863
2760.0,2942,25100.035597
2772.0,2945,25360.01419
2327.0,609,25360.912403
1959.0,844,25361.966653
2186.0,589,25366.396702
3227.0,753,25367.651551
1474.0,539,25368.548763
2472.0,646,25368.616779
2389.0,641,25374.053068
1826.0,611,25374.255116
2715.0,722,25376.363615
2030.0,592,25380.5186
3575.0,862,25642.411646
1790.0,785,25644.004023
2109.0,597,25646.230551
3482.0,976,25656.592005
3520.0,2951,25659.371664
2216.0,557,25924.919576
3654.0,1156,25928.525431
2543.0,2818,25934.53589
4911.0,3050,25935.458109
1955.0,602,25935.763182
3933.0,1099,25937.427576
1814.0,547,25941.056279
1465.0,569,25942.251562
1721.0,557,25944.107001
3679.0,883,25945.814405
2573.0,726,26212.76365
